MYID,id_l2,id_l1,shape_area,AC1,AC2,AC1N,AC2N,ALC_3,o_imean,f_hstd,i_hstd,i_prop,l_hmean,l_imean,fh20,lh80,lh50,hawi95,hawi5,fvege,fhmean,lhmean,limean,fhr_80_99,fhr_30_95,fl_95_95_99,fl_95_70_99,fl_95_60_99,height_d2,density4,fd40,fd20,fd1,m_ndvi,m_red_nir,a_red,a_grn,a_nir,a_ndvi,a_red_grn,a_blu_nir,aspect_std,slope_std,slope_max,wt_min,wt_max,utmnorth,utmeast,tr_te_tpi_18,sd_18m_101,sd_36m_87,mean_36m_97,mean_36m_111,tr_tp_6m_125m_41_mean_diff,tr_tp_6m_175m_59_sd,tmin_wt,tmin_sm,tave_wt,rad_sp,dd_0_wt,dd5_wt,dd18_at,nffd_at,cmd_sp,cmd_sm,cmd_at,rh_sp,td,msp,effp,cmd,mar,tr_ka_18m_100m_11_kaspcdir_across,tr_ka_18m_50m_5_kaspcdir_across,tr_ka_18m_200m_23_kaspcdir_downhill,tr_ka_36m_1200m_67_kaspcdir_downhill,tr_ka_36m_800m_45_kaspcdir_downhill,tr_ka_36m_1200m_67_kaspcdir_uphill,tr_ka_36m_2000m_111_kaspcdir_uphill,tr_ka_18m_400m_45_kaspdir_across,tr_ka_36m_2000m_111_kaspdir_across,tr_ka_18m_200m_23_kaspdir_downhill,tr_ka_18m_400m_45_kaspdir_downhill,tr_ka_36m_2000m_111_kaspdir_downhill,tr_ka_36m_400m_23_kaspdir_downhill,tr_ka_36m_1600m_89_kaspdir_uphill,tr_ka_36m_800m_45_kaspdir_uphill,tr_ka_18m_100m_11_kaspsdir_across,tr_ka_36m_2000m_111_kaspsdir_across,tr_ka_18m_200m_23_kaspsdir_downhill,tr_ka_36m_2000m_111_kaspsdir_downhill,tr_ka_18m_100m_11_kaspsdir_uphill,tr_ka_18m_200m_23_kaspsdir_uphill,tr_ka_18m_50m_5_kaspsdir_uphill,tr_ka_36m_1600m_89_kaspsdir_uphill,tr_ka_36m_2000m_111_kaspsdir_uphill,tr_ka_18m_50m_5_kaspslpcdir_across,tr_ka_36m_1600m_89_kaspslpcdir_across,tr_ka_18m_400m_45_kaspslpcdir_downhill,tr_ka_18m_50m_5_kaspslpcdir_downhill,tr_ka_36m_1600m_89_kaspslpcdir_downhill,tr_ka_36m_800m_45_kaspslpcdir_downhill,tr_ka_36m_1200m_67_kaspslpele2cdir_across,tr_ka_36m_1600m_89_kaspslpele2cdir_across,tr_ka_18m_100m_11_kaspslpele2cdir_uphill,tr_ka_18m_100m_11_kaspslpele2sdir_across,tr_ka_36m_1200m_67_kaspslpele2sdir_downhill,tr_ka_18m_50m_5_kaspslpele2sdir_uphill,tr_ka_36m_800m_45_kaspslplneleslpcdir_across,tr_ka_36m_1200m_67_kaspslplneleslpcdir_uphill,tr_ka_36m_800m_45_kaspslplneleslpsdir_across,tr_ka_18m_200m_23_kaspslplneleslpsdir_uphill,tr_ka_36m_1600m_89_kaspslplneleslpsdir_uphill,tr_ka_36m_2000m_111_kaspslplneleslpsdir_uphill,tr_ka_36m_400m_23_kaspslplneleslpsdir_uphill,tr_ka_36m_1600m_89_kaspslplnele_uphill,tr_ka_36m_1200m_67_kaspslpsdir_across,tr_ka_36m_2000m_111_kaspslpsdir_across,tr_ka_18m_200m_23_kaspslpsdir_uphill,tr_ka_36m_800m_45_kaspslpsdir_uphill,tr_ka_18m_200m_23_kaspslp_downhill,V_P,NV_P,WT_P,MAX_PC1,PC1O,FNF_PO,PC2O,HF_PO,HG_PO,SC_PO,SO_PO,MVALO,PC3O
597,3751387,580216,318.5,1,1,V,F,NA,39.90678,2.97935,2.221086,0.091185,0.900514,16.116822,10.56,13.72,0.6,57,14,0.905775,13.006812,10.376875,31.875,0.887307,0.74952,0.055728,0.85387,0.908978,0.050611,0.112462,0.504559,0.319149,0.112462,0.685448,0.186628,429.141447,602.45,2157.452632,0.66818,0.712327,0.284133,6.41,1.15,14.34,0,0,5683077,640051,-0.207708,66.040167,80.883457,-2.628414,0.003498,-2.718146,21.009538,-15.3,4.9,-9.1,17.2,844,4,2,25,19,65,10,54,23.8,374,240,94,13.5,0.37139,0.707106,0.341743,0.899814,0.975132,-0.536875,-0.279329,84.805571,22.693794,-70.016893,-28.610459,-329.808377,-32.471192,-237.528807,-285.255118,-0.928476,-0.385806,0.939793,-0.502893,-0.707106,-0.877895,-0.707106,-0.843661,-0.960195,0.107177,-0.068927,0.129493,-0.078038,0.084685,0.111549,-76878.37029,-155939.6683,283444.9744,-369671.1208,-77521.83778,-275352.8371,0.022178,-0.040377,-0.08132,-0.265701,-0.051362,-0.044435,-0.577023,-0.667382,-0.053398,-0.02391,-0.17858,-0.147478,0.161701,2224.080672,0.055188191,0.03622254,2224.080672,V,0.001021314,F,NA,NA,NA,NA,NA,NA
598,3752577,580470,324,1,2,V,NF,NA,33.352403,0,0,0,0,0,0,0.14,0.03,43,30,0,0,0,0,0.222222,0,0.126984,0.349206,0.412698,0,0,0.846682,0.727689,0.466819,0.582423,0.263885,497.857143,643.542857,1878,0.580903,0.773619,0.330564,95.52,0.55,2.52,1,2,5679909,641347,0.013506,15.219839,33.043575,-4.487198,-7.934637,0.066598,1.676416,-15.2,4.9,-9,17.1,833,5,2,25,28,85,15,54,23.9,354,240,128,13.4,0,0,-0.178885,-0.457956,-0.925546,0.672672,0.707106,195.255118,233.972626,-259.695153,-270,-249.102234,-264.805571,-60.395549,-46.332219,1,0.808736,-0.983869,-0.934218,0.707106,0.633237,1,0.869456,0.707106,0,0.019462,0,0.003312,-0.011712,-0.047513,39518.56381,37855.63906,8108.796697,15051.93647,-63753.27538,12623.33324,0.003931,0.006467,0.005087,0.002909,0.016141,0.011165,0.00197,-0.366634,0.026819,0.029684,0.015952,0.012731,0.01342,45.79962626,0.191821816,0.091630781,45.79962626,V,0.956291469,NF,NA,NA,NA,NA,NA,NA
599,3757194,581473,422.2498016,2,3,NV,NA,NA,20.401274,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.105263,0,0.105263,0.368421,0.368421,0,0,0.926752,0.859873,0.716561,0,0,0,0,0,0,0,0,48.2,1.56,9.18,0,4,5681636,641258,0.234027,50.229797,70.553232,-73.991914,-78.01548,-4.738799,14.511488,-15.1,4.8,-8.7,17.2,812,5,2,25,32,91,18,53,23.7,351,239,141,13.5,-0.928476,-0.447213,0.413802,0.478852,0.536875,-0.957024,-0.939793,5.194428,19.983106,-294.443954,-312.273689,-280.304846,-312.273689,-158.87528,-197.650124,-0.37139,-0.341743,-0.910366,-0.983869,-0.37139,0.413802,0.894427,0.360399,-0.341743,-0.006918,-0.065146,0.005447,0.00819,0.003041,0.00465,-157894.5958,-119849.5673,-406121.1666,-80912.34653,-15421.83321,20779.16835,-0.057315,-0.314598,0.018236,0.193402,0.065725,-0.051286,-0.008671,-1.14688,0.028608,-0.020501,0.105336,-0.071024,0.01188,0.645668642,3.322044879,0.00106669,3.322044879,NV,NA,NA,NA,NA,NA,NA,NA,NA
600,3762273,582497,506.3461914,2,3,NV,NA,NA,18.078049,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.333333,0,0.142857,0.571429,0.714286,0,0,0.853659,0.75122,0.556098,0,0,0,0,0,0,0,0,83.37,2.38,9.92,2,4,5681281,641622,-0.05744,29.190748,54.667946,-57.835968,-64.060259,-0.762202,2.90317,-15.2,4.9,-8.9,17.3,827,5,2,25,31,90,17,53,23.8,348,240,138,13.6,-0.803856,-0.707106,0.780534,0.099474,0.352809,-0.997485,-0.897667,346.460478,333.853158,-322.056987,-292.907502,-272.394434,-291.32136,-154.170775,-199.283211,-0.591635,0.440673,-0.608,-0.999092,-0.591635,-0.178885,0.838231,0.435674,0.440673,-0.005503,-0.056442,0.003552,0.001773,0.000086,0.003675,-121570.4316,-103067.191,-60313.33449,-20089.25281,-21217.49568,22002.46918,-0.016136,-0.208374,-0.00557,-0.007028,0.065904,0.04448,0.013946,-1.044357,0.006338,0.023242,-0.013205,-0.049212,0.008201,0.478203962,8.934966901,0.001661782,8.934966901,NV,NA,NA,NA,NA,NA,NA,NA,NA
601,3763944,582823,418.590634,2,3,NV,NA,NA,10.063158,0,0,0,0,0,0,0.17,0.04,31,4,0,0,0,0,0.354167,0,0.1875,0.4375,0.541667,0,0,0.823684,0.713158,0.465789,0,1.229395,2099.375,1947.225,1712.125,0,1.078137,1.06032,91.75,1.68,7.53,1,4,5681136,641782,0.094846,24.490104,46.407881,-51.018898,-57.857858,-0.204492,1.467839,-15.2,4.9,-8.9,17.3,826,5,2,25,31,90,17,53,23.8,347,240,138,13.6,-0.142857,-0.142857,0.103157,-0.025962,0.18499,-0.988715,-0.882652,229.296948,331.969151,-275.924488,-316.739747,-265.988573,-281.012028,-151.38954,-194.904996,0.857142,0.469924,-0.994175,-0.99753,-0.196116,-0.413802,0.766651,0.478852,0.469924,-0.001376,-0.054462,0.006234,0.00033,-0.00138,0.002102,-112262.2684,-99136.41793,-33542.46037,16638.40493,-23024.01658,13337.43875,-0.001671,-0.178211,0.004415,-0.004086,0.068185,0.044008,0.020184,-1.013036,0.009344,0.023115,-0.015303,-0.028181,0.011519,0.000648315,273.6972079,0.137831199,273.6972079,NV,NA,NA,NA,NA,NA,NA,NA,NA
602,3765023,583065,467.7221985,2,3,NV,NA,NA,7.517544,0,0,0,0,0,0,0.17,0.04,18,4,0,0,0,0,0.377778,0,0.066667,0.422222,0.511111,0,0,0.815789,0.69883,0.44152,0,1.209532,2861.25,2661.4,2365,0,1.075092,1.03277,87.38,1.6,8.02,1,3,5681070,642194,-0.133618,22.59002,42.687898,-46.181654,-53.171562,-0.657037,2.467256,-15.2,4.9,-8.9,17.3,823,5,2,25,31,91,18,53,23.8,347,240,140,13.6,-0.428632,-0.55117,0.384978,-0.190332,-0.108366,-0.914452,-0.926293,345.25739,324.247533,-292.659615,-281.804498,-254.358851,-283.275009,-143.184856,-170.239668,0.900083,0.584274,-0.922137,-0.962936,0.900083,0.090535,0.447213,0.598848,0.231371,-0.006647,-0.038177,0.002406,-0.001103,-0.001613,-0.001441,-82161.1394,-69047.98002,-14820.86367,25636.92448,-22800.76995,17454.19069,0.001585,-0.103959,0.003724,0.002274,0.054026,0.015464,-0.0025,-0.806464,0.020649,0.025351,0.005346,0.015782,0.011286,0.00030622,483.0662768,0.122940076,483.0662768,NV,NA,NA,NA,NA,NA,NA,NA,NA
603,3775297,585264,324,1,1,V,F,NA,11.780702,3.189701,7.518419,0.080692,0.353554,6.966942,13.18,14.78,0.15,33,4,0.933718,14.685463,14.18098,10.382353,0.910643,0.819825,0.069437,0.937393,0.960159,0.019449,0.45245,0.481268,0.291066,0.089337,0.672582,0.195756,549.909202,724.427607,2680.92546,0.659587,0.759095,0.258114,70.07,1.8,10.74,0,4,5684733,641923,-0.438958,77.308975,83.486535,8.421585,13.076733,0.407688,21.077464,-15.3,4.9,-9.1,17.5,845,4,2,25,17,61,8,54,23.8,378,240,86,13.8,0.37139,-0.707106,-0.263117,-0.030289,0.135113,0.999541,-0.413802,187.765166,206.146841,-254.744881,-243.434948,-311.11209,-241.38954,-122.471192,-10.304846,0.928476,0.440673,-0.964763,-0.753424,0.514495,0.808736,0.707106,0.843661,0.910366,-0.082412,-0.029589,-0.063629,-0.080703,-0.054792,0.013535,7608.821074,-69464.25609,-305860.9564,328709.1489,-246535.3607,198901.5667,0.153364,0.093593,0.027884,0.161855,0.019072,0.016343,0.09372,-0.407198,0.106957,0.020209,0.133591,0.034997,0.218422,1732.030042,0.425477728,0.003633687,1732.030042,V,0.000337701,F,NA,NA,NA,NA,NA,NA
604,3775949,585417,412.2678871,1,1,V,F,NA,9.39759,3.543717,12.44866,0.027996,0.359602,7.126582,0.39,16.32,0.29,31,2,0.758119,18.078936,18.820637,4.901961,0.911037,0.774081,0.053758,0.936251,0.941009,0.003399,0.720045,0.569989,0.414334,0.24972,0.640143,0.219406,544.463173,719.592868,2301.934934,0.617437,0.756627,0.296275,8.66,1.48,12.07,0,4,5684757,642173,-0.080719,73.6305,81.612537,-33.25611,-30.948062,-2.35079,16.894332,-15.2,4.9,-9,17.5,834,4,2,25,21,67,10,54,23.7,372,240,98,13.8,0.677674,0.614287,-0.746058,-0.83205,-0.707106,0.030289,-0.440673,217.09893,213.20657,-221.27138,-241.38954,-309.289406,-241.38954,-91.301952,-28.610459,0.73345,0.547659,-0.654523,-0.773957,0.707837,0.588171,0.827527,0.999741,0.897667,0.059306,-0.022569,-0.029973,-0.05726,0.023516,-0.034112,206994.3488,-49596.27389,214086.5151,167448.6015,-55097.85118,217088.7951,0.089213,0.00582,0.052716,0.22838,0.083142,0.031198,0.159307,-0.779237,0.017126,0.02293,0.135546,0.097487,0.073155,5257.26516,0.151590204,0.001555755,5257.26516,V,0.000778339,F,NA,NA,NA,NA,NA,NA
605,3776716,585589,520.375,1,1,V,F,NA,11.792941,23.254375,9.706616,0.040562,2.862881,5.860169,0,16.06,1.11,36,3,0.73947,13.398333,13.326687,9.041791,0.843658,0.178996,0.066372,0.295477,0.488692,0.126246,0.358814,0.661466,0.519501,0.299532,0.569263,0.274483,526.750104,674.979418,1766.665073,0.540641,0.780394,0.371235,6.52,1.4,19.36,0,0,5684837,642007,0.250238,74.162434,83.182752,-8.478292,-5.286475,0.89121,22.983118,-15.3,4.9,-9.1,17.5,840,4,2,25,19,65,9,54,23.8,375,240,93,13.7,0.196116,0.447213,-0.322086,-0.030289,0.221621,0.999541,-0.399944,187.765166,210.963756,-251.19889,-253.547378,-318.301865,-254.744881,-120.579226,-22.249023,0.98058,0.514495,-0.946036,-0.665206,0.983008,0.952278,0.894427,0.860926,0.916539,0.112863,-0.02992,-0.034522,-0.079286,-0.049834,0.01786,35195.38006,-68323.72502,104689.0442,606141.0053,-199155.5971,446935.1514,0.129339,0.155763,0.052911,0.556499,0.035233,0.020897,0.061934,-0.547351,0.101723,0.022722,0.268775,0.077297,0.172821,928.9069125,0.089027549,0.168654806,928.9069125,V,0.00553278,F,NA,NA,NA,NA,NA,NA
606,3776740,585596,469.5,1,1,V,F,NA,7.061983,8.432202,4.539329,0.043738,0.508801,4.974763,0,0.29,0,25,1,0.687873,9.161243,10.841923,4.980769,0.679876,0.018625,0.145511,0.864396,0.864396,0.239905,0.023857,0.683897,0.534791,0.332008,0.593231,0.255311,609.163037,782.151862,2579.494556,0.617919,0.77883,0.283005,6.75,1.98,19.28,0,0,5684823,641788,-1.082643,77.273024,82.880807,30.377012,35.220494,-4.184894,17.975392,-15.3,4.9,-9.2,17.5,850,4,2,25,15,58,6,54,23.8,381,240,79,13.7,-0.438173,-0.568497,-0.792714,-0.520778,-0.184583,0.988715,-0.373312,233.305879,310.899207,-215.67561,-198.583317,-206.034112,-207.284676,-119.73442,-9.966222,0.89535,0.755753,-0.56352,-0.4389,0.98058,0.375371,0.821087,0.868319,0.92769,-0.124707,-0.028619,-0.183362,0.097821,0.032189,-0.023757,183142.3741,-69351.45449,-142470.8591,413531.1972,-191298.5311,578261.8766,0.142887,0.079735,0.047112,0.008191,0.013111,0.018796,0.128163,-0.33314,0.000311,0.031174,0.020344,0.030811,0.191881,1935.164735,0.142957791,0.05799624,1935.164735,V,0.003970667,F,NA,NA,NA,NA,NA,NA
607,3788046,587627,421.0575867,1,1,V,F,NA,19.473874,0.421768,0,0,0,14.15,0,0,0,16,2,0.043328,3.0256,2.776667,11,0,0,0,0,0,0,0,0.97747,0.967071,0.956672,0.696108,0.17917,563.412,773.244,3353.828,0.712342,0.728634,0.210357,6.53,1.82,24.43,0,0,5681817,642675,-0.054774,44.845755,69.062818,-24.48945,-32.351001,-2.557228,19.489931,-15.1,4.8,-8.8,17.2,816,5,2,25,30,86,17,53,23.7,356,239,133,13.5,-0.389278,-0.838525,0.961642,0.34484,0.478852,-0.92181,-0.929194,352.880159,338.311546,-344.153882,-291.965784,-269.088576,-289.983106,-161.322113,-148.286708,0.919603,0.369554,-0.272945,-0.999855,0.928476,0.529622,0.503115,0.32024,0.369554,-0.190748,-0.066281,0.02808,0.182309,0.003638,0.024592,-144404.6242,-126390.1208,-163507.1859,309876.3832,-78160.2275,242513.1159,-0.04009,-0.112448,0.02462,0.160312,0.044096,0.045109,-0.018574,-0.997706,0.031832,0.024669,0.108343,0.060345,0.12068,190.5384046,0.050595899,0.073192612,190.5384046,V,0.870843911,NF,NA,NA,NA,NA,NA,NA
608,3810780,592248,473.2917023,1,2,V,NF,NA,32.814545,0,0,0,0,0,0,0.17,0.03,38,30,0,0,0,0,0.369565,0,0.130435,0.565217,0.652174,0,0,0.847273,0.745455,0.490909,0.558505,0.283281,538.583333,658.5,1931.833333,0.563974,0.817894,0.330601,104.54,0.4,1.73,2,2,5679784,641453,0.042638,13.480708,31.827761,-4.602293,-6.979236,-0.114118,1.717128,-15.2,4.9,-9,17.1,832,5,2,25,28,86,15,54,23.9,354,240,129,13.4,0.196116,0.447213,-0.588171,-0.518301,-0.910366,0.707106,0.679939,245.556045,234.659893,-233.972626,-245.556045,-244.698621,-245.556045,-55.713123,-17.650124,0.98058,0.815732,-0.808736,-0.904072,0.707106,0.672672,0.707106,0.826227,0.733268,0.002898,0.020319,-0.004356,0,-0.012873,-0.045065,36077.57593,39463.47513,8826.258217,14117.77934,-56445.87856,6279.488465,0.007772,0.005734,0.003532,0.004658,0.013407,0.011959,0.003903,-0.34276,0.02919,0.029361,0.020803,0.007415,0.011458,40.74912911,0.403688537,0.100483062,40.74912911,V,0.95187711,NF,NA,NA,NA,NA,NA,NA
609,3810821,592256,278.7081909,1,2,V,NF,SC,11.400424,0,0,0,0,0,0.01,0.26,0.11,12,5,0,0,0,0,0.481481,0.105263,0.111111,0.351852,0.425926,0,0,0.741525,0.586864,0.271186,0.565522,0.277529,617.825,797.45,2341.2625,0.582422,0.774751,0.308183,149.69,0.54,3.11,1,3,5679495,641815,-0.112187,8.972148,26.767553,0.565321,-0.955471,-0.551524,2.109802,-15.2,4.9,-8.9,17.1,830,5,2,25,28,86,15,54,23.9,354,240,129,13.4,0,1,-0.964763,-0.999541,0.045407,0.571792,0.385806,237.528807,229.484606,-164.744881,-237.528807,-234.659893,-237.528807,-40.815083,-36.027373,-1,0.760231,0.263117,-0.815732,-1,-0.983869,0,0.653619,0.922579,0.019587,0.021999,-0.009295,-0.013206,-0.015628,0.000704,31399.61565,42787.90549,0,-40691.63886,-2444.159378,0,0.00099,0.002909,0.00072,-0.008282,0.006033,0.015212,0.00122,-0.258524,0.019026,0.022606,-0.033547,0.011535,0.008729,30.35610645,0.427972728,0.053293472,30.35610645,V,0.982804202,NF,0.454030153,0.359101203,3.584069553,0.416893575,3.584069553,SC
610,3811167,592331,324,1,2,V,NF,NA,34.384906,0,0,0,0,0,0,0.23,0.05,40,40,0,0,0,0,0.522727,0,0.136364,0.477273,0.636364,0,0,0.8,0.686792,0.441509,0.620767,0.233984,523.5,693.5,2237.333333,0.620767,0.754867,0.289482,80.11,0.65,2.64,1,3,5679696,641636,-0.042135,12.461066,29.357541,-2.876971,-4.766808,-0.298973,0.965115,-15.2,4.9,-8.9,17.1,831,5,2,25,28,86,15,54,23.9,354,240,129,13.4,0.93716,0.982404,-0.943955,-0.571792,-0.808736,0.571792,0.649652,233.972626,230.092115,-199.195108,-233.694815,-241.38954,-230.710593,-47.72631,-28.610459,0.342178,0.767076,-0.328638,-0.877895,0.44634,0.428461,0.819891,0.73994,0.760231,0.008612,0.018456,-0.004863,-0.00894,-0.014263,-0.032549,38122.33458,35792.92438,10199.29669,5529.101546,-50610.58375,13461.47046,0.004963,0.00565,0.003384,0.000418,0.00826,0.009719,0.006045,-0.284277,0.028204,0.023665,0.005217,0.01114,0.012127,82.90250846,0.17809933,0.051887267,82.90250846,V,0.967303545,NF,NA,NA,NA,NA,NA,NA
611,3814517,593305,324,1,1,V,F,NA,31.239669,13.055631,8.312103,0.148,0.908358,12.5,5.03,12.84,0.06,49,8,0.848,11.946745,12.417921,26.069307,0.841116,0.492355,0.064351,0.360478,0.908314,0.192399,0.168,0.588,0.416,0.176,0.509942,0.324554,414.848592,576.713615,1187.786385,0.482292,0.719332,0.490859,62.62,2.09,11.02,0,0,5674491,641401,-0.437534,49.885229,88.492508,-7.008994,-6.361061,-0.699355,8.144744,-15.2,5.2,-9.1,17.1,839,4,2,26,20,87,10,54,24.2,361,241,117,13.5,0,0.447213,-0.178885,0.060495,-0.221621,0.290007,0.687011,267.397437,270,-259.695153,-272.602562,-284.281095,-275.194428,-53.130102,-59.420773,1,1,-0.983869,-0.969097,1,0.983869,1,0.8,0.726646,0.026356,0.013096,0.003661,-0.024636,0.021191,-0.017323,-7035.27705,28728.29221,0,186918.9288,-188761.9177,204289.9104,0.026635,0.032896,0.048831,0.054858,0.044401,0.018282,0.039067,-0.636544,0.105836,0.070801,0.085987,0.091641,0.067332,808.958229,0.740590788,0.040389304,808.958229,V,0.000777977,F,NA,NA,NA,NA,NA,NA
612,3826465,595868,474.4658661,1,1,V,F,NA,51.407895,7.125838,4.875346,0.082734,0.059901,28.871921,5.17,0,0,57,10,0.895683,8.567912,10.636122,42.44898,0.786686,0.485445,0.15247,0.909807,0.909807,0.315476,0,0.579137,0.388489,0.133094,0.438377,0.390456,655.65743,758.536948,1556.316867,0.407174,0.864371,0.461685,11.37,2.53,27.6,0,0,5656598,640341,-0.360199,102.714128,140.630707,111.250509,114.489648,-9.362814,40.454746,-15.2,5.3,-9.6,16.1,879,4,2,26,0,82,0,56,24.3,382,241,82,12.5,-0.98058,-0.92082,0.85222,-0.341743,0.975132,0.7179,0.726646,10.304846,137.161079,-328.49399,-322.722476,-105.255118,-323.972626,-318.447386,-239.420773,0.196116,-0.679939,-0.522369,0.964763,0.239934,-0.462589,0.447213,-0.663307,-0.687011,-0.36354,0.096636,0.204429,0.367304,-0.013445,0.245584,238097.2213,264573.6704,-1335570.429,235063.0104,524866.9554,478463.274,-0.048574,0.053032,-0.082203,-0.548038,-0.039435,-0.037378,-0.375481,-0.663792,-0.08433,-0.056339,-0.184741,-0.136374,0.289682,268.9096239,0.528213064,0.093178118,268.9096239,V,0.000674557,F,NA,NA,NA,NA,NA,NA
613,3831188,596847,324,1,1,V,F,NA,88.257009,5.741396,7.455885,0.068507,2.18329,23.739777,5.6,14.02,0.57,151,20,0.872188,13.461442,11.111747,52.928736,0.889447,0.703355,0.058068,0.419319,0.813512,0.082123,0.372188,0.555215,0.387526,0.166667,0.573276,0.271232,548.616946,737.948123,2174.006976,0.596994,0.743436,0.333108,10.21,1.64,13.42,0,0,5657047,639186,0.140269,94.572424,105.696059,-45.364543,-48.853017,1.158305,16.118752,-14.9,5.6,-9.1,16,843,4,2,28,11,116,3,55,24.6,343,243,130,12.3,0.555612,0.447213,-0.682063,-0.995893,-0.952925,0.178885,-0.036339,145.713123,87.917434,-133.017228,-98.457806,-180,-100.304846,-277.765166,-306.027373,-0.821125,-0.999339,0.730985,0,-0.707106,-0.707106,-0.758194,-0.99083,-0.999339,0.069732,0.0157,-0.018918,-0.076288,-0.049851,-0.08005,50389.20627,30178.83726,170007.1733,-205935.9059,-10946.7866,-182455.2011,0.081911,0.110443,-0.106003,-0.106376,-0.398259,-0.353851,-0.223678,-1.705245,-0.144185,-0.10339,-0.101959,-0.214742,0.094721,5827.391061,0.133540384,0.060577294,5827.391061,V,0.03892773,F,NA,NA,NA,NA,NA,NA
614,3849758,600131,324,1,1,V,F,NA,49.714876,19.886247,12.874086,0.177449,3.211599,22.79932,6.04,16.45,1.56,85,14,0.918669,13.870221,9.679784,33.889189,0.767227,0.49672,0.103782,0.339496,0.747059,0.126745,0.45841,0.584104,0.404806,0.133087,0.524095,0.312254,445.237037,606.012037,1214.050185,0.463339,0.7347,0.51768,5.36,4.66,45.06,0,0,5656458,642045,0.952669,94.446592,132.911016,-135.096103,-130.343725,-1.757,47.760967,-15.2,5.3,-9.4,16.4,866,4,2,27,2,92,0,56,24.4,372,241,94,12.8,0.458498,0.703951,-0.599321,0.263117,0.221621,0.909907,0.997301,104.400536,118.6451,-356.511456,-94.518289,-129.907884,-95.194428,-330.211163,-342.248441,-0.885269,-0.877602,0.572048,0.767076,-0.854161,-0.933396,-0.707106,-0.493955,-0.073318,0.355203,0.089537,-0.011882,-0.533333,0.026985,0.017458,134527.0975,217652.9649,684959.5647,-1073701.125,155668.1185,-770831.9182,-0.015661,0.530936,-0.172278,-1.802282,-0.176276,-0.023991,-0.634346,-1.620365,-0.049464,-0.091566,-0.47822,-0.085905,0.247337,35.56036244,0.798110171,0.187816378,35.56036244,V,0.001494467,F,NA,NA,NA,NA,NA,NA
615,3851739,600456,408.375,1,1,V,F,NA,54.836066,12.014109,11.202715,0.183051,1.390787,24.91573,8.64,15.32,0.3,80,15,0.867797,14.408828,13.692193,38.236842,0.849725,0.61595,0.07339,0.477783,0.918622,0.106262,0.447458,0.559322,0.383051,0.159322,0.467761,0.36262,497.991892,646.972973,1380.181081,0.469706,0.769726,0.465451,10.46,0.88,17.77,0,0,5656239,642121,-0.179444,105.58695,140.831443,-87.415162,-80.246183,-2.156748,32.485924,-15.3,5.3,-9.5,16.4,876,4,2,26,0,83,0,56,24.4,381,241,83,12.8,-0.196116,-0.707106,-0.707106,0.060495,-0.090535,0.899814,0.399944,174.805571,113.574706,-135,-169.695153,-70.942295,-174.805571,-301.534791,-333.434948,-0.98058,-0.916539,0.707106,0.94519,-0.928476,-0.995893,-0.894427,-0.852322,-0.916539,-0.163949,0.052681,-0.260608,0.190793,0.029432,-0.014221,318580.6603,138213.1745,-349204.1509,-997209.9826,311075.3777,-581386.7579,0.0372,0.408491,-0.272802,-1.11889,-0.244296,-0.167857,-0.0605,-1.455389,0.040476,-0.081158,-0.388289,-0.115014,0.246354,478.1124832,0.333494717,0.094726175,478.1124832,V,0.001388559,F,NA,NA,NA,NA,NA,NA
616,3863306,602528,292.5003204,1,2,V,NF,SO,61.146168,0.011025,0,0,0.705,17.5,0.46,0.87,0.6,80,42,0.095915,1.478889,1.415192,49.442308,0.353659,0.42735,0.073171,0.158537,0.199187,0,0,0.563055,0.319716,0.021314,0.489029,0.343157,936.711111,1102.443457,3183.182716,0.545274,0.849668,0.28531,1.45,0.97,40.65,0,0,5654774,640880,0.000983,135.932239,164.727622,-40.741873,-43.569506,-1.420528,62.738816,-15.3,5.3,-9.7,16.2,892,4,2,26,0,80,0,56,24.3,378,241,80,12.5,-0.196116,-0.447213,-0.090535,0.090535,-0.263117,0,-0.054464,73.965161,87.917434,-95.194428,-99.458286,-114.443954,-95.194428,-322.305759,-247.750976,-0.98058,-0.999339,0.995893,0.910366,-0.928476,-0.948116,-0.894427,-0.611447,-0.998515,-0.308117,0.038356,-0.042405,0.299069,-0.035211,-0.047274,-17182.579,98942.68506,-696315.6807,-1735099.512,435788.3254,-1621221.3,-0.176812,0,-0.432209,-3.460908,-0.125357,-0.291112,-1.301788,-1.230181,-0.219814,-0.138759,-0.666901,-0.310302,0.367161,6.882521411,0.06886872,0.28175443,6.882521411,V,0.98116627,NF,0.000164897,0.050810278,19.92955716,405.6782306,405.6782306,SO
